Hakusana,Sanaluokka,Pituus
kansanusko,substantiivi,10
kansanuskomus,substantiivi,13
kansanvaali,substantiivi,11
kansanvalistustyö,substantiivi,17
kansanvalta,substantiivi,11
kansanvaltainen,adjektiivi,15
kansanvaltaisesti,adverbi,17
kansanvaltaistaa,verbi,16
kansanvaltaistua,verbi,16
kansanvaltaisuus,substantiivi,16
kansanvaltuuskunta,substantiivi,18
kansanvarallisuus,substantiivi,17
kansanvene,substantiivi,10
kansanvihollinen,substantiivi,16
kansanvillitsijä,substantiivi,16
kansanäänestys,substantiivi,14
kansatiede,substantiivi,10
kansatieteellinen,adjektiivi,17
kansatieteilijä,substantiivi,15
kansi,substantiivi,5
kansijuttu,substantiivi,10
kansikuva,substantiivi,9
kansikuvatyttö,substantiivi,14
kansilasti,substantiivi,10
kansilehti,substantiivi,10
kansimatkustaja,substantiivi,15
kansimiehistö,substantiivi,13
kansimies,substantiivi,9
‑kansinen,adjektiivi,9
kansio,substantiivi,6
kansioida,verbi,9
kansipaikka,substantiivi,11
kansipäällystö,substantiivi,14
kansitakki,substantiivi,10
kansittaa,verbi,9
kansituoli,substantiivi,10
kansitus,substantiivi,8
kansiventtiili,substantiivi,14
kansiventtiilimoottori,substantiivi,22
kansleri,substantiivi,8
kanslia,substantiivi,7
kanslia-apulainen,substantiivi,17
kansliahenkilökunta,substantiivi,19
kansliahenkilöstö,substantiivi,17
kansliakieli,substantiivi,12
kansliaministeri,substantiivi,16
kanslianeuvos,substantiivi,13
kansliapäällikkö,substantiivi,16
kansliapäätös,substantiivi,13
kansliatoimikunta,substantiivi,17
kansliatuomio,substantiivi,13
kansliatyyli,substantiivi,12
kanslisti,substantiivi,9
kansoittaa,verbi,10
kansoittua,verbi,10
kanssa,"postpositio, adverbi",6
kanssaeläjä,substantiivi,11
kanssaihminen,substantiivi,13
kanssakilpailija,substantiivi,16
kanssakulkija,substantiivi,13
kanssakäyminen,substantiivi,14
kanssamatkustaja,substantiivi,16
kanssarikollinen,substantiivi,16
kanssasisar,substantiivi,11
kanta,substantiivi,5
kantaa,verbi,6
kanta-aliupseeri,substantiivi,16
kantaan,postpositio,7
kanta-asiakas,substantiivi,13
kanta-asiakasetu,substantiivi,16
kanta-asiakkuus,substantiivi,15
kanta-astuja,substantiivi,12
kanta-asukas,substantiivi,12
kantaatti,substantiivi,9
kantaesittää,verbi,12
kantaesitys,substantiivi,11
kantahenkilökunta,substantiivi,17
kantahenkilöstö,substantiivi,15
‑kantainen,adjektiivi,10
‑kantaisuus,substantiivi,11
kantaisä,substantiivi,8
kantaja,substantiivi,7
kantajoukko,substantiivi,11
kantajänne,substantiivi,10
kantajäsen,substantiivi,10
kantakahvila,substantiivi,12
kantakappi,substantiivi,10
kantakaupunki,substantiivi,13
kantakieli,substantiivi,10
kantakirja,substantiivi,10
kantakirjalehmä,substantiivi,15
kantakirjaori,substantiivi,13
kantakulma,substantiivi,10
kantalappu,substantiivi,10
kantalenkkiside,substantiivi,15
kantalinnoite,substantiivi,13
kantalinnoittaa,verbi,15
kantalinnoitus,substantiivi,14
kantalippu,substantiivi,10
kantaluku,substantiivi,9
kantaluu,substantiivi,8
kantama,substantiivi,7
kantamaton,adjektiivi,10
kantamuksellinen,substantiivi,16
kantamuksittain,adverbi,15
kantamuoto,substantiivi,10
kantamus,substantiivi,8
kantaohjelmisto,substantiivi,15
kantaosa,substantiivi,8
kantapaikka,substantiivi,11
kantapala,substantiivi,9
kantapeikko,substantiivi,11
kantapiikki,substantiivi,11
kantapää,substantiivi,8
kantapöytä,substantiivi,10
kantaravintola,substantiivi,14
kantarelli,substantiivi,10
kantasana,substantiivi,9
kantaside,substantiivi,9
kantasieni,substantiivi,10
kantasolu,substantiivi,9
kantasoluhoito,substantiivi,14
kantasormus,substantiivi,11
kantasuomalainen,"substantiivi, adjektiivi",16
kantasuomi,substantiivi,10
kantata,verbi,7
kantatie,substantiivi,8
kantatila,substantiivi,9
kantaurali,substantiivi,10
kantautua,verbi,9
kantavartalo,substantiivi,12
kantaverkko,substantiivi,11
kantavierre,substantiivi,11
kantavierreväkevyys,substantiivi,19
kantavuus,substantiivi,9
kantaväestö,substantiivi,11
kantaäiti,substantiivi,9
kantele,substantiivi,7
kanteleensoittaja,substantiivi,17
kanteleensoitto,substantiivi,15
kantelija,substantiivi,9
kantelu,substantiivi,7
kantelukirjelmä,substantiivi,15
kantelupukki,substantiivi,12
kantikas,adjektiivi,8
‑kantinen,adjektiivi,9
kantio,substantiivi,6
kanto,substantiivi,5
kanto,substantiivi,5
kantoaalto,substantiivi,10
kantoaika,substantiivi,9
kantohanki,substantiivi,10
kantohihna,substantiivi,10
kantohinta,substantiivi,10
kantoinen,adjektiivi,9
kantoinen,adjektiivi,9
kantoisuus,substantiivi,10
kantojuhta,substantiivi,10
kantojyrsin,substantiivi,11
kantokassi,substantiivi,10
kantokoppa,substantiivi,10
kantokotelo,substantiivi,11
kantokyky,substantiivi,9
kantokykyluokitus,substantiivi,17
kantolaukku,substantiivi,11
kantoliina,substantiivi,10
kantomatka,substantiivi,10
kantoni,substantiivi,7
kantopiiri,substantiivi,10
kantopommi,substantiivi,10
kantoraha,substantiivi,9
kantoraketti,substantiivi,12
kantoreppu,substantiivi,10
kantosieni,substantiivi,10
kantosiipi,substantiivi,10
kantosiipialus,substantiivi,14
kantotaso,substantiivi,9
kantotasoalus,substantiivi,13
kantotuoli,substantiivi,10
kantovesi,substantiivi,9
kantri,substantiivi,6
kantrimusiikki,substantiivi,14
kanttarelli,substantiivi,11
kanttaus,substantiivi,8
kantti,substantiivi,6
kanttiini,substantiivi,9
kanttinauha,substantiivi,11
kanttipaalain,substantiivi,13
kanttori,substantiivi,8
kanttori-urkuri,substantiivi,15
kanttura,substantiivi,8
kanttuvei,adverbi,9
kanukka,substantiivi,7
kanukki,substantiivi,7
kanuuna,substantiivi,7
kanuunalaukaus,substantiivi,14
kanuunasyöttö,substantiivi,13
kanvaasi,substantiivi,8
kanveesi,substantiivi,8
kanyloida,verbi,9
kanyyli,substantiivi,7
kaoliini,substantiivi,8
kaoliinisavi,substantiivi,12
kaoliniitti,substantiivi,11
kaoottinen,adjektiivi,10
kaoottisesti,adverbi,12
kapaista,verbi,8
kapakala,substantiivi,8
kapakanpitäjä,substantiivi,13
kapakka,substantiivi,7
kapakoitsija,substantiivi,12
kapallinen,substantiivi,10
kapalo,substantiivi,6
kapaloaste,substantiivi,10
kapaloida,verbi,9
kapalointi,substantiivi,10
kapalolapsi,substantiivi,11
kapalovaippa,substantiivi,12
kapalovauva,substantiivi,11
kapasitanssi,substantiivi,12
kapasiteetti,substantiivi,12
kapea,adjektiivi,5
kapea-alainen,adjektiivi,13
kapeaharteinen,adjektiivi,14
kapeahartiainen,adjektiivi,15
kapeakasvoinen,adjektiivi,14
kapeakatseinen,adjektiivi,14
kapeakirjoinen,adjektiivi,14
kapealahkeinen,adjektiivi,14
kapealanteinen,adjektiivi,14
kapeapohjainen,adjektiivi,14
kapearaitainen,adjektiivi,14
kapearaiteinen,adjektiivi,14
kapeasti,adverbi,8
kapeikko,substantiivi,8
kapeikkoinen,adjektiivi,12
kapellimestari,substantiivi,14
kapeus,substantiivi,6
kapeuttaa,verbi,9
kapeutua,verbi,8
kapi,substantiivi,4
kapiainen,substantiivi,9
kapillaari,substantiivi,10
kapillaari-ilmiö,substantiivi,16
kapillaarinen,adjektiivi,13
kapillaaripilli,substantiivi,15
kapillaariputki,substantiivi,15
kapillaarisesti,adverbi,15
kapillaarisuus,substantiivi,14
kapina,substantiivi,6
kapinahenki,substantiivi,11
kapinahenkinen,adjektiivi,14
kapinaliike,substantiivi,11
kapinalippu,substantiivi,11
kapinallinen,"adjektiivi, substantiivi",12
kapinallisuus,substantiivi,13
kapinamieli,substantiivi,11
kapinayritys,substantiivi,12
kapine,substantiivi,6
kapinen,adjektiivi,7
kapinkarviainen,substantiivi,15
kapinoida,verbi,9
kapinoija,substantiivi,9
kapinointi,substantiivi,10
kapinoitsija,substantiivi,12
kapioarkku,substantiivi,10
kapiolakana,substantiivi,11
kapiot,substantiivi,6
kapistus,substantiivi,8
kapitaali,substantiivi,9
kapitalismi,substantiivi,11
kapitalisoida,verbi,13
kapitalisointi,substantiivi,14
kapitalisti,substantiivi,11
kapitalistinen,adjektiivi,14
kapitaloida,verbi,11
kapitalointi,substantiivi,12
kapiteeli,substantiivi,9
kapiteelikirjain,substantiivi,16
kapiteelinauha,substantiivi,14
kapiteloida,verbi,11
kapitulantti,substantiivi,12
kapituli,substantiivi,8
kaplas,substantiivi,6
kaplastaa,verbi,9
kapoinen,adjektiivi,8
kapoittain,adverbi,10
kapokki,substantiivi,7
kapokkipuu,substantiivi,10
kappa,substantiivi,5
kappa,substantiivi,5
kappa,substantiivi,5
kappalainen,substantiivi,11
kappale,substantiivi,7
kappalehinta,substantiivi,12
kappaleittain,adverbi,13
kappaleittainen,adverbi,15
kappalejako,substantiivi,11
kappalekauppa,substantiivi,13
kappaleluku,substantiivi,11
kappalemäärä,substantiivi,12
kappaletavara,substantiivi,13
kappas,interjektio,6
kappeli,substantiivi,7
kappelikirkko,substantiivi,13
kappelineuvosto,substantiivi,15
kappeliseurakunta,substantiivi,17
kappelivoileipä,substantiivi,15
kappi,substantiivi,5
kapriisi,substantiivi,8
kapris,substantiivi,6
kaprispensas,substantiivi,12
kapsaa,verbi,6
kapsahdella,verbi,11
kapsahdus,substantiivi,9
kapsahtaa,verbi,9
kapsahtelu,substantiivi,10
kapsaisiini,substantiivi,11
kapse,substantiivi,5
kapsehtia,verbi,9
kapsekki,substantiivi,8
kapseli,substantiivi,7
kapseloida,verbi,10
kapseloitua,verbi,11
kapsyyli,substantiivi,8
kapsäkki,substantiivi,8
kapteeni,substantiivi,8
kapteeniluutnantti,substantiivi,18
kapula,substantiivi,6
kapulahissi,substantiivi,11
kapulakieli,substantiivi,11
kapulasilta,substantiivi,11
kapulatie,substantiivi,9
kapuloida,verbi,9
kapusiini,substantiivi,9
kapusta,substantiivi,7
kapustarinta,substantiivi,12
kaput,adverbi,5
kara,substantiivi,4
karaatti,substantiivi,8
‑karaattinen,adjektiivi,12
karabiini,substantiivi,9
karabinieeri,substantiivi,12
karahdella,verbi,10
karahdus,substantiivi,8
karahka,substantiivi,7
karahtaa,verbi,8
karahteerata,verbi,12
karahvi,substantiivi,7
karahviviini,substantiivi,12
karaista,verbi,8
karaista,verbi,8
karaistua,verbi,9
karaisu,substantiivi,7
karakteri,substantiivi,9
karakterisoida,verbi,14
karakteristiikka,substantiivi,16
karakteristika,substantiivi,14
karakteristinen,adjektiivi,15
karakteristisuus,substantiivi,16
karaktääri,substantiivi,10
karakullammas,substantiivi,13
karambola,substantiivi,9
karamelli,substantiivi,9
karamellipaperi,substantiivi,15
karamellipussi,substantiivi,14
karamellirasia,substantiivi,14
karamellisoida,verbi,14
karamellivanukas,substantiivi,16
karamelliväri,substantiivi,13
karanteeni,substantiivi,10
karanteenimaksu,substantiivi,15
karaoke,substantiivi,7
karaokebaari,substantiivi,12
karaokelaitteisto,substantiivi,17
karata,verbi,6
karate,substantiivi,6
karateisku,substantiivi,10
karateka,substantiivi,8
karatepotku,substantiivi,11
karautella,verbi,10
karauttaa,verbi,9
karavaanari,substantiivi,11
karavaani,substantiivi,9
karavaanimatkailu,substantiivi,17
karavaanitie,substantiivi,12
karbidi,substantiivi,7
karbiini,substantiivi,8
karbiinihaka,substantiivi,12
karbonaatti,substantiivi,11
kardaani,substantiivi,8
kardaaniakseli,substantiivi,14
kardaaninen,adjektiivi,11
kardaaninivel,substantiivi,13
kardaaniripustus,substantiivi,16
kardaanitunneli,substantiivi,15
kardaaniveto,substantiivi,12
kardemumma,substantiivi,10
kardinaali,substantiivi,10
kardinaali‑,,11
kardinaalikala,substantiivi,14
kardinaalikollegio,substantiivi,18
kardinaaliluku,substantiivi,14
kardinaalilukusana,substantiivi,18
kardinaalimunaus,substantiivi,16
kardinaalivirhe,substantiivi,15
kardiologi,substantiivi,10
kardiologia,substantiivi,11
kardiologinen,adjektiivi,13
kardoni,substantiivi,7
kare,substantiivi,4
kare,substantiivi,4
karehtia,verbi,8
kareilla,verbi,8
kareilu,substantiivi,7
kareliaaninen,adjektiivi,13
karelianismi,substantiivi,12
karenssi,substantiivi,8
karenssiaika,substantiivi,12
karenssipäivä,substantiivi,13
karhe,substantiivi,5
karhea,adjektiivi,6
karheapintainen,adjektiivi,15
karheasti,adverbi,9
karheikko,substantiivi,9
karhenne,substantiivi,8
karhennos,substantiivi,9
karhennus,substantiivi,9
karhentaa,verbi,9
karhentua,verbi,9
karheta,verbi,7
karheus,substantiivi,7
karheuttaa,verbi,10
karheutua,verbi,9
karhi,substantiivi,5
karhiainen,substantiivi,10
karhinta,substantiivi,8
karhita,verbi,7
karho,substantiivi,5
karhotin,substantiivi,8
karhottaa,verbi,9
karhotus,substantiivi,8
karhu,substantiivi,5
karhuaja,substantiivi,8
karhuamiskirje,substantiivi,14
karhujahti,substantiivi,10
karhukainen,substantiivi,11
karhukirje,substantiivi,10
karhukoira,substantiivi,10
karhulanka,substantiivi,10
karhumainen,adjektiivi,11
karhunajo,substantiivi,9
karhunkaataja,substantiivi,13
karhunkaato,substantiivi,11
karhunkieli,substantiivi,11
karhunkierros,substantiivi,13
karhunkoppi,substantiivi,11
karhunköynnös,substantiivi,13
karhunlanka,substantiivi,11
karhunliha,substantiivi,10
karhunmetsästys,substantiivi,15
karhunnahka,substantiivi,11
karhunpalvelus,substantiivi,14
karhunpeijaiset,substantiivi,15
karhunpenikka,substantiivi,13
karhunpentu,substantiivi,11
karhunpesä,substantiivi,10
karhunpoika,substantiivi,11
karhunpoikanen,substantiivi,14
karhunputki,substantiivi,11
karhunpyynti,substantiivi,12
karhunpyytäjä,substantiivi,13
karhunruoho,substantiivi,11
karhunsammal,substantiivi,12
karhuntalja,substantiivi,11
karhunvatukka,substantiivi,13
karhuta,verbi,7
kari,substantiivi,4
karibu,substantiivi,6
karies,substantiivi,6
karikatyyri,substantiivi,11
karike,substantiivi,6
karikekerros,substantiivi,12
karikko,substantiivi,7
karikkoinen,adjektiivi,11
karikkoisuus,substantiivi,12
karikkoranta,substantiivi,12
karikoida,verbi,9
karikukko,substantiivi,9
karilleajo,substantiivi,10
karinen,adjektiivi,7
karioitua,verbi,9
karioottinen,adjektiivi,12
karioottisuus,substantiivi,13
karisma,substantiivi,7
karismaatikko,substantiivi,13
karismaattinen,adjektiivi,14
karista,verbi,7
karistaa,verbi,8
kariste,substantiivi,7
karistella,verbi,10
karistelu,substantiivi,9
karistesieni,substantiivi,12
karistetauti,substantiivi,12
karistus,substantiivi,8
karisuttaa,verbi,10
karisuus,substantiivi,8
karitevoi,substantiivi,9
karitsa,substantiivi,7
karitsannahka,substantiivi,13
karitsanvilla,substantiivi,13
karitsoida,verbi,10
karitsoittaa,verbi,12
kariuttaa,verbi,9
kariutua,verbi,8
karja,substantiivi,5
karja-aitaus,substantiivi,12
karja-aura,substantiivi,10
karja-auto,substantiivi,10
karjafarmi,substantiivi,10
karjahdella,verbi,11
karjahdus,substantiivi,9
karjahtaa,verbi,9
karjahtelu,substantiivi,10
karjaista,verbi,9
karjaisu,substantiivi,8
karjakartano,substantiivi,12
karjakeittiö,substantiivi,12
karjakko,substantiivi,8
karjala,substantiivi,7
karjala-aunus,substantiivi,13
karjalaidun,substantiivi,11
karjalainen,"substantiivi, adjektiivi",11
karjalaisittain,adverbi,15
karjalaisuus,substantiivi,12
karjalaisväestö,substantiivi,15
karjalankarhukoira,substantiivi,18
karjalan kieli,,14
karjalanneito,substantiivi,13
karjalannos,substantiivi,11
karjalanpaisti,substantiivi,14
karjalanpiirakka,substantiivi,16
karjalanpiiras,substantiivi,14
karjalantaa,verbi,11
karjalantalo,substantiivi,12
karjalauma,substantiivi,10
karjamaja,substantiivi,9
karjanhoitaja,substantiivi,13
karjanhoito,substantiivi,11
karjanjalostus,substantiivi,14
karjankasvattaja,substantiivi,16
karjankasvatus,substantiivi,14
karjankellot,substantiivi,12
karjankuljetusauto,substantiivi,18
karjanlaidun,substantiivi,12
karjanlanta,substantiivi,11
karjanomistaja,substantiivi,14
karjanostaja,substantiivi,12
karjanpito,substantiivi,10
karjanrehu,substantiivi,10
karjanruoka,substantiivi,11
karjanruokinta,substantiivi,14
karjantarkkailu,substantiivi,15
karjanäyttely,substantiivi,13
karjapaimen,substantiivi,11
karjapiha,substantiivi,9
karjapolku,substantiivi,10
karjarotu,substantiivi,9
karjarutto,substantiivi,10
karjasuoja,substantiivi,10
karjatalous,substantiivi,11
karjatalouskone,substantiivi,15
karjataloustuote,substantiivi,16
karjatarha,substantiivi,10
karjatila,substantiivi,9
karjatilallinen,substantiivi,15
karjaton,adjektiivi,8
karjavaras,substantiivi,10
karjeta,verbi,7
karju,substantiivi,5
karjua,verbi,6
karjunta,substantiivi,8
karkaamisyritys,substantiivi,15
karkailla,verbi,9
karkailu,substantiivi,8
karkaisematon,adjektiivi,13
karkaisija,substantiivi,10
karkaisimo,substantiivi,10
karkaista,verbi,9
karkaistua,verbi,10
karkaisu,substantiivi,8
karkaisuallas,substantiivi,13
karkaisukovuus,substantiivi,14
karkaisukylpy,substantiivi,13
karkaisu-uuni,substantiivi,13
karkaus,substantiivi,7
karkauspäivä,substantiivi,12
karkaussekunti,substantiivi,14
karkausvuosi,substantiivi,12
karkausyritys,substantiivi,13
karkea,adjektiivi,6
karkeakarvainen,adjektiivi,15
karkeakiteinen,adjektiivi,14
karkeakäytöksinen,adjektiivi,17
karkealuonteinen,adjektiivi,16
karkeapiirteinen,adjektiivi,16
karkeapintainen,adjektiivi,15
karkeapuheinen,adjektiivi,14
karkearakeinen,adjektiivi,14
karkearehu,substantiivi,10
karkeasanainen,adjektiivi,14
karkeasti,adverbi,9
karkeasyinen,adjektiivi,12
karkeasäädin,substantiivi,12
karkeasäätö,substantiivi,11
karkeatekoinen,adjektiivi,14
karkeishionta,substantiivi,13
karkeistaa,verbi,10
karkeistae,substantiivi,10
karkeistaos,substantiivi,11
karkeistus,substantiivi,10
karkeistyö,substantiivi,10
karkeistyöstö,substantiivi,13
karkelo,substantiivi,7
karkeloida,verbi,10
karkelointi,substantiivi,11
karkenee,verbi,8
karkeus,substantiivi,7
karkeuttaa,verbi,10
karkeutua,verbi,9
karkki,substantiivi,6
karkkikauppa,substantiivi,12
karkkipussi,substantiivi,11
karkkipäivä,substantiivi,11
karkota,verbi,7
karkote,substantiivi,7
karkotin,substantiivi,8
karkottaa,verbi,9
karkotus,substantiivi,8
karkotusmääräys,substantiivi,15
karkotusrangaistus,substantiivi,18
karkotustuomio,substantiivi,14
karku,substantiivi,5
karkulainen,substantiivi,11
karkumatka,substantiivi,10
karkuretki,substantiivi,10
karkuri,substantiivi,7
karkuruus,substantiivi,9
karkuteille,adverbi,11
karkuteillä,adverbi,11
karkuteiltä,adverbi,11
karkuun,adverbi,7
karma,substantiivi,5
karmaiseva,adjektiivi,10
karmaista,verbi,9
karmea,adjektiivi,6
karmeasti,adverbi,9
karmeliitta,substantiivi,11
karmeliittaluostari,substantiivi,19
karmeliittamunkki,substantiivi,17
karmeliittasisar,substantiivi,16
karmeus,substantiivi,7
karmi,substantiivi,5
karmia,verbi,6
karmiini,substantiivi,8
karmiininpunainen,adjektiivi,17
karmiva,adjektiivi,7
karneoli,substantiivi,8
karnevaali,substantiivi,10
karnevaaliaika,substantiivi,14
karnevaalihumu,substantiivi,14
karnevaalikulkue,substantiivi,16
karnevaalitunnelma,substantiivi,18
karnevalismi,substantiivi,12
karnevalisoida,verbi,14
karnevalisointi,substantiivi,15
karnevalisoitua,verbi,15
karnevalistinen,adjektiivi,15
karoliini,substantiivi,9
karoliininen,adjektiivi,12
karolingi,substantiivi,9
karolinginen,adjektiivi,12
karonkka,substantiivi,8
karoteeni,substantiivi,9
karottiporkkana,substantiivi,15
karpaasi,substantiivi,8
karpalo,substantiivi,7
karpalohyydyke,substantiivi,14
karpalohyytelö,substantiivi,14
karpalolikööri,substantiivi,14
karpalomehu,substantiivi,11
karpalonpunainen,adjektiivi,16
karpalosuo,substantiivi,10
karpata,verbi,7
karppaus,substantiivi,8
karppi,substantiivi,6
karppikala,substantiivi,10
karree,substantiivi,6
karrella,adverbi,8
karrelle,adverbi,8
karri,substantiivi,5
karrieeri,substantiivi,9
karrieerinainen,substantiivi,15
karrieristi,substantiivi,11
karrikana,substantiivi,9
karrikastike,substantiivi,12
karrikatyyri,substantiivi,12
karrikoida,verbi,10
karrikointi,substantiivi,11
karriääri,substantiivi,9
karsaasti,adverbi,9
karsas,adjektiivi,6
karsastaa,verbi,9
karsastus,substantiivi,9
karsaus,substantiivi,7
karsea,adjektiivi,6
karsi,substantiivi,5
karsia,verbi,6
karsiintua,verbi,10
karsija,substantiivi,7
karsikko,substantiivi,8
karsimalmi,substantiivi,10
karsimineraali,substantiivi,14
karsina,substantiivi,7
karsinogeeni,substantiivi,12
karsinogeeninen,adjektiivi,15
karsinogeenisuus,substantiivi,16
karsinogeenisyys,substantiivi,16
karsinoida,verbi,10
karsinointi,substantiivi,11
karsinoitua,verbi,11
karsinooma,substantiivi,10
karsinta,substantiivi,8
karsintakilpailu,substantiivi,16
karsintakurssi,substantiivi,14
karsintaottelu,substantiivi,14
karsintapeli,substantiivi,12
karsintaraja,substantiivi,12
karsintasarja,substantiivi,13
karsiutua,verbi,9
karski,adjektiivi,6
karskisti,adverbi,9
karskius,substantiivi,8
karsta,substantiivi,6
karsta,substantiivi,6
karstaaja,substantiivi,9
karstaamo,substantiivi,9
karstaantua,verbi,11
karstaantua,verbi,11
karstainen,adjektiivi,10
karstakone,substantiivi,10
karstalanka,substantiivi,11
karstalankakangas,substantiivi,17
karstapuuvilla,substantiivi,14
karstasammal,substantiivi,12
karstata,verbi,8
karstaus,substantiivi,8
karstauskone,substantiivi,12
karstautua,verbi,10
karstautua,verbi,10
karstavilla,substantiivi,11
karsti,substantiivi,6
karstimaa,substantiivi,9
karstimuodostuma,substantiivi,16
karstoittua,verbi,11
kartanlukija,substantiivi,12
kartanluku,substantiivi,10
kartano,substantiivi,7
kartanohotelli,substantiivi,14
kartanonherra,substantiivi,13
kartanonomistaja,substantiivi,16
kartanorakennus,substantiivi,15
kartanoromantiikka,substantiivi,18
kartanoruusu,substantiivi,12
kartanpiirtäjä,substantiivi,14
kartanpiirustus,substantiivi,15
kartasto,substantiivi,8
kartella,verbi,8
kartelli,substantiivi,8
kartellihinta,substantiivi,13
kartellisopimus,substantiivi,15
kartelloitua,verbi,12
karting,substantiivi,7
kartio,substantiivi,6
kartiohammaspyörä,substantiivi,17
kartiokas,adjektiivi,9
kartiokulma,substantiivi,11
kartioleikkaus,substantiivi,14
kartiolisäke,substantiivi,12
kartiomainen,adjektiivi,12
kartiopinta,substantiivi,11
kartioprojektio,substantiivi,15
kartografia,substantiivi,11
kartografinen,adjektiivi,13
kartografisesti,adverbi,15
kartogrammi,substantiivi,11
kartoitin,substantiivi,9
kartoittaa,verbi,10
kartoittaja,substantiivi,11
kartoitus,substantiivi,9
kartonki,substantiivi,8
kartonkinen,adjektiivi,11
kartonkipakkaus,substantiivi,15
kartta,substantiivi,6
karttaa,verbi,7
karttaharjoitus,substantiivi,15
karttajäkälä,substantiivi,12
karttakeppi,substantiivi,11
karttakirja,substantiivi,11
karttakoordinaatisto,substantiivi,20
karttalaukku,substantiivi,12
karttalehti,substantiivi,11
karttaliite,substantiivi,11
karttaluonnos,substantiivi,13
karttamerkki,substantiivi,12
karttaoppi,substantiivi,10
karttapallo,substantiivi,11
karttapiirros,substantiivi,13
karttapohjoinen,substantiivi,15
karttapoikkeama,substantiivi,15
karttaprojektio,substantiivi,15
karttaselitys,substantiivi,13
karttatasku,substantiivi,11
karttateline,substantiivi,12
karttelu,substantiivi,8
karttu,substantiivi,6
karttua,verbi,7
karttuisa,adjektiivi,9
karttuma,substantiivi,8
karttupiilo,substantiivi,11
karttupiilosilla,adverbi,16
kartturi,substantiivi,8
karttusilla,adverbi,11
kartunta,substantiivi,8
kartusiaani,substantiivi,11
kartusiaaniluostari,substantiivi,19
kartusiaanimunkki,substantiivi,17
kartuttaa,verbi,9
kartutus,substantiivi,8
karu,adjektiivi,4
karukko,substantiivi,7
karukkokangas,substantiivi,13
karuselli,substantiivi,9
karusellisorvi,substantiivi,14
karussa,adverbi,7
karusti,adverbi,7
karuuntua,verbi,9
karuus,substantiivi,6
karva,substantiivi,5
karvaasti,adverbi,9
karvahattu,substantiivi,10
karvainen,adjektiivi,9
‑karvainen,adjektiivi,10
karvaisuus,substantiivi,10
karvakato,substantiivi,9
karvakaulus,substantiivi,11
karvakehrääjä,substantiivi,13
karvakuono,substantiivi,10
karvalakki,substantiivi,10
karvalakkilähetystö,substantiivi,19
karvalakkimalli,substantiivi,15
karvalakkipuoli,substantiivi,15
karvalanka,substantiivi,10
karvalankamatto,substantiivi,15
karvalaukku,substantiivi,11
karvalehti,substantiivi,10
karvallinen,adjektiivi,11
karvamerkki,substantiivi,11
karvanaama,"substantiivi, adjektiivi",10
karvanaamainen,adjektiivi,14
karvanjuuri,substantiivi,11
karvankasvu,substantiivi,11
karvanluonti,substantiivi,12
karvanlähtö,substantiivi,11
karvanoppa,substantiivi,10
karvanpoisto,substantiivi,12
karvanpoistoaine,substantiivi,16
karvanysty,substantiivi,10
karvapeite,substantiivi,10
karvapeitteinen,adjektiivi,15
karvapintainen,adjektiivi,14
karvareuhka,substantiivi,11
karvari,substantiivi,7
karvarintainen,adjektiivi,14
karvarousku,substantiivi,11
karvas,adjektiivi,6
karvasaine,substantiivi,10
karvasipuli,substantiivi,11
karvasivellin,substantiivi,13
karvasmanteli,substantiivi,13
karvasmanteliöljy,substantiivi,17
karvasputki,substantiivi,11
karvassuola,substantiivi,11
karvastella,verbi,11
karvastelu,substantiivi,10
karvasto,substantiivi,8
karvata,verbi,7
karvatukko,substantiivi,10
karvatuppi,substantiivi,10
karvaturri,substantiivi,10
karvaus,substantiivi,7
karvaus,substantiivi,7
karvauspeli,substantiivi,11
karve,substantiivi,5
karviainen,substantiivi,10
karviaishillo,substantiivi,13
karviaiskoisa,substantiivi,13
karviaiskoiso,substantiivi,13
karviaismarja,substantiivi,13
karviaismarjahillo,substantiivi,18
karviaismarjapensas,substantiivi,19
karviaismittari,substantiivi,15
karviaispistiäinen,substantiivi,18
karvoa,verbi,6
karvoittua,verbi,10
karvoitus,substantiivi,9
kas,interjektio,3
kasa,substantiivi,4
kasaantua,verbi,9
kasaantuma,substantiivi,10
kasailla,verbi,8
kasakka,substantiivi,7
kasakkahyppy,substantiivi,12
kasakkajoukko,substantiivi,13
kasakkalakki,substantiivi,12
kasakkapaita,substantiivi,12
kasakkapäällikkö,substantiivi,16
kasakkatanssi,substantiivi,13
kasakkayhteisö,substantiivi,14
kasapanos,substantiivi,9
kasapäin,adverbi,8
kasapäissä,adverbi,10
kasari,substantiivi,6
kasari,"substantiivi, adjektiivi",6
kasarmi,substantiivi,7
kasarmialue,substantiivi,11
kasarmimajoitus,substantiivi,15
kasarmirakennus,substantiivi,15
kasata,verbi,6
kasauma,substantiivi,7
kasaus,substantiivi,6
kasautua,verbi,8
kasautuma,substantiivi,9
kaseerata,verbi,9
kaseeraus,substantiivi,9
kaseiini,substantiivi,8
kasematti,substantiivi,9
kasetoida,verbi,9
kasetointi,substantiivi,10
kasetti,substantiivi,7
kasettidekki,substantiivi,12
kasettifilmi,substantiivi,12
kasettikirja,substantiivi,12
kasettikirjasto,substantiivi,15
kasettilevy,substantiivi,11
kasettinauha,substantiivi,12
kasettinauhuri,substantiivi,14
kashmir,substantiivi,7
kasi,substantiivi,4
kasiainen,substantiivi,9
kasino,substantiivi,6
